VTDID,Enacted,Plan1,Plan2,Plan3,Plan4,Plan5,Plan6
271430015,7,5,5,4,3,1,6
271430020,7,5,5,4,3,1,6
271430025,7,5,5,4,3,1,6
271430030,7,5,5,4,3,1,6
271430035,7,5,5,4,3,3,6
271430040,7,5,5,4,3,1,6
271430045,7,5,5,4,3,1,4
271430050,7,5,5,4,3,1,4
271430055,7,5,5,4,3,1,6
271430060,7,5,5,4,3,1,6
271430065,7,5,5,4,3,3,6
271430070,7,5,5,4,3,1,6
271430075,7,5,5,4,3,1,6
271430080,7,5,5,4,3,1,6
271430082,7,5,5,4,3,1,6
271430085,7,5,5,4,3,1,4
271430090,7,5,5,4,3,1,4
271430095,7,5,5,4,3,1,4
271430100,7,5,5,4,3,1,4
271430105,7,5,5,4,3,1,6
271430110,7,5,5,4,3,1,6
271430115,7,5,5,4,3,1,6
271430120,7,5,5,4,3,1,6
271450005,7,4,4,5,5,1,4
271450010,7,4,4,5,5,1,4
271450015,7,4,4,5,5,1,1
271450020,6,4,4,5,5,1,4
271450025,6,4,4,5,5,1,4
271450027,6,4,4,5,5,1,4
271450030,7,4,4,5,5,1,4
271450035,6,4,4,5,5,1,7
271450040,7,4,4,5,5,1,4
271450042,6,4,4,5,5,1,4
271450045,6,4,4,5,5,1,4
271450050,6,4,4,5,5,1,4
271450055,6,4,4,5,5,1,4
271450060,7,4,4,5,5,1,4
271450065,7,4,4,5,5,1,4
271450070,6,4,4,5,5,1,4
271450075,7,4,4,5,5,1,4
271450080,7,4,4,5,5,1,4
271450085,6,4,4,5,5,1,4
271450090,7,4,4,5,5,1,4
271450095,7,4,4,5,5,1,4
271450100,7,4,4,5,5,1,4
271450105,7,4,4,5,5,1,4
271450110,7,4,4,5,5,1,4
271450115,6,4,4,5,5,1,7
271450120,6,4,4,5,5,1,7
271450125,6,4,4,5,5,1,4
271450130,7,4,4,5,5,1,4
271450135,7,4,4,5,5,1,4
271450137,7,4,4,5,5,1,4
271450140,7,4,4,5,5,1,4
271450145,6,4,4,5,5,1,4
271450150,6,4,4,5,5,1,4
271450155,6,4,4,5,5,1,4
271450160,6,4,4,5,5,1,4
271450165,7,4,4,5,5,1,4
271450170,7,4,4,5,5,1,4
271450180,7,4,4,5,5,1,4
271450185,7,4,4,5,5,1,4
271450190,7,4,4,5,5,1,4
271450192,6,4,4,5,5,1,4
271450195,7,4,4,5,5,1,4
271450200,7,4,4,5,5,1,4
271450205,7,4,4,5,5,1,4
271450210,7,4,4,5,5,1,4
271450215,7,4,4,5,5,1,4
271450225,7,4,4,5,5,1,4
271450230,6,4,4,5,5,1,4
271450235,6,4,4,5,5,1,4
271450245,7,4,4,5,5,1,4
271450250,7,4,4,5,5,1,4
271450255,6,4,4,5,5,1,4
271450260,6,4,4,5,5,1,4
271450265,6,4,4,5,5,1,4
271450270,6,4,4,5,5,1,4
271450275,6,4,4,5,5,1,4
271450280,6,4,4,5,5,1,4
271450285,6,4,4,5,5,1,4
271450290,6,4,4,5,5,1,4
271450295,6,4,4,5,5,1,4
271450305,6,4,4,5,5,1,4
271450307,6,4,4,5,5,1,4
271450310,6,4,4,5,5,1,4
271450312,6,4,4,5,5,1,4
271450315,6,4,4,5,5,1,4
271450317,6,4,4,5,5,1,4
271450320,6,4,4,5,5,1,4
271450330,6,4,4,5,5,1,4
271450335,6,4,4,5,5,1,4
271450340,6,4,4,5,5,1,4
271450345,6,4,4,5,5,1,4
271450350,6,4,4,5,5,1,4
271450355,6,4,4,5,5,1,4
271450360,6,4,4,5,5,1,4
271450380,6,4,4,5,5,1,4
271450385,6,4,4,5,5,1,4
271450390,6,4,4,5,5,1,4
271450399,7,4,4,5,5,1,4
271450400,7,4,4,5,5,1,4
271450404,7,4,4,5,5,1,4
271450405,6,4,4,5,5,1,7
271450410,6,4,4,5,5,1,4
271450414,6,4,4,5,5,1,4
271450415,6,4,4,5,5,1,4
271450416,6,4,4,5,5,1,4
271450417,6,4,4,5,5,1,4
271450418,6,4,4,5,5,1,4
271450419,6,4,4,5,5,1,4
271450420,7,4,4,5,5,1,1
271450430,7,4,4,5,5,1,1
271450434,7,4,4,5,5,1,4
271450435,7,4,4,5,5,1,4
271450440,6,4,4,5,5,1,4
271450441,6,4,4,5,5,1,4
271450442,6,4,4,5,5,1,4
271450443,6,4,4,5,5,1,4
271450445,6,4,4,5,5,1,4
271450450,7,4,4,5,5,1,4
271470005,1,6,7,4,6,0,2
271470010,1,6,7,4,6,0,6
271470015,1,6,7,4,6,0,6
271470020,1,6,7,4,6,0,6
271470025,1,6,7,4,6,0,2
271470030,1,6,7,4,6,0,6
271470035,1,6,7,4,6,0,6
271470040,1,6,7,4,6,0,2
271470045,1,6,7,4,6,0,6
271470050,1,6,7,4,6,0,2
271470055,1,6,7,4,6,0,2
271470060,1,6,7,4,6,0,2
271470065,1,6,7,4,6,0,2
271470070,1,6,7,4,6,0,2
271470075,1,6,7,4,6,0,2
271470085,1,6,7,4,6,0,2
271470090,1,6,7,4,6,0,2
271470100,1,6,7,4,6,0,2
271470105,1,6,7,4,6,0,2
271470115,1,6,7,4,6,0,2
271470120,1,6,7,4,6,0,2
271470130,1,6,7,4,6,0,2
271470135,1,6,7,4,6,0,2
271470145,1,6,7,4,6,0,2
271470150,1,6,7,4,6,0,2
271470155,1,6,7,4,6,0,6
271490005,7,5,4,3,5,1,4
271490010,7,5,4,3,5,1,4
271490015,7,5,4,3,5,1,4
271490020,7,5,4,3,5,1,4
271490025,7,5,4,3,5,1,4
271490030,7,5,4,3,5,1,4
271490035,7,5,4,3,5,1,4
271490040,7,5,4,3,5,1,4
271490045,7,5,4,3,5,1,4
271490050,7,5,4,3,5,1,4
271490055,7,5,4,3,5,1,1
271490060,7,5,4,3,5,1,4
271490065,7,5,4,3,5,1,4
271490072,7,5,4,3,5,1,4
271490073,7,5,4,3,5,1,4
271490075,7,5,4,3,5,1,4
271490076,7,5,4,3,5,1,4
271490080,7,5,4,3,5,1,4
271490081,7,5,4,3,5,1,4
271490085,7,5,4,3,5,1,4
271490090,7,5,4,3,5,1,4
271490095,7,5,4,3,5,1,4
271490100,7,5,4,3,5,1,4
271490105,7,5,4,3,5,1,4
271490110,7,5,4,3,5,1,4
271490115,7,5,4,3,5,1,4
271510005,7,5,4,3,5,1,4
271510010,7,5,4,3,5,1,4
271510015,7,5,4,3,5,1,4
271510020,7,5,4,3,5,1,4
271510025,7,5,4,3,5,1,4
271510030,7,5,4,3,5,1,4
271510035,7,5,4,3,5,1,4
271510040,7,5,4,3,5,1,4
271510045,7,5,4,3,5,1,4
271510050,7,5,4,3,5,1,4
271510055,7,5,4,3,5,1,4
271510060,7,5,4,3,5,1,4
271510065,7,5,4,3,5,1,4
271510070,7,5,4,3,5,1,4
271510075,7,5,4,3,5,1,4
271510080,7,5,4,3,5,1,4
271510085,7,5,4,3,5,1,4
271510090,7,5,4,3,5,1,4
271510095,7,5,4,3,5,1,4
271510100,7,5,4,3,5,1,4
271510105,7,5,4,3,5,1,4
271510110,7,5,4,3,5,1,4
271510115,7,5,4,3,5,1,4
271510120,7,5,4,3,5,1,4
271510125,7,5,4,3,5,1,4
271510130,7,5,4,3,5,1,4
271510135,7,5,4,3,5,1,4
271510140,7,5,4,3,5,1,4
271510145,7,5,4,3,5,1,4
271510150,7,5,4,3,5,1,4
271530005,7,4,4,5,5,1,4
271530010,7,4,4,5,5,1,4
271530015,7,4,4,5,5,1,4
271530020,7,4,4,5,5,1,1
271530025,7,4,4,5,5,1,1
271530030,7,4,4,5,5,1,1
271530035,7,4,4,5,5,1,1
271530040,7,4,4,5,5,1,1
271530045,7,4,4,5,5,1,1
271530050,7,4,4,5,5,1,4
271530055,7,4,4,5,5,1,4
271530060,7,4,4,5,5,1,4
271530065,7,4,4,5,5,1,4
271530070,7,4,4,5,5,1,4
271530075,7,4,4,5,5,1,1
271530080,7,4,4,5,5,1,1
271530085,7,4,4,5,5,1,1
271530090,7,4,4,5,5,1,1
271530095,7,4,4,5,5,1,4
271530100,7,4,4,5,5,1,4
271530105,7,4,4,5,5,1,1
271530110,7,4,4,5,5,1,1
271530115,7,4,4,5,5,1,1
271530120,7,4,4,5,5,1,1
271530126,7,4,4,5,5,1,1
271530135,7,4,4,5,5,1,1
271530140,7,4,4,5,5,1,4
271530145,7,4,4,5,5,1,1
271530150,7,4,4,5,5,1,1
271530155,7,4,4,5,5,1,1
271530160,7,4,4,5,5,1,4
271530165,7,4,4,5,5,1,4
271530170,7,4,4,5,5,1,4
271530173,7,4,4,5,5,1,1
271530175,7,4,4,5,5,1,4
271530180,7,4,4,5,5,1,4
271530185,7,4,4,5,5,1,4
271530188,7,4,4,5,5,1,1
271530190,7,4,4,5,5,1,1
271530195,7,4,4,5,5,1,4
271550005,7,5,4,3,5,1,4
271550010,7,5,4,3,5,1,4
271550015,7,5,4,3,5,1,4
271550020,7,5,4,3,5,1,4
271550025,7,5,4,3,5,1,4
271550027,7,5,4,3,5,1,4
271550030,7,5,4,3,5,1,4
271550035,7,5,4,3,5,1,4
271550040,7,5,4,3,5,1,4
271550045,7,5,4,3,5,1,4
271550050,7,5,4,3,5,1,4
271550055,7,5,4,3,5,1,4
271550060,7,5,4,3,5,1,4
271550065,7,5,4,3,5,1,4
271550070,7,5,4,3,5,1,4
271550075,7,5,4,3,5,1,4
271550080,7,5,4,3,5,1,4
271550085,7,5,4,3,5,1,4
271550090,7,5,4,3,5,1,4
271550095,7,5,4,3,5,1,4
271570005,2,6,6,6,6,6,6
271570010,2,6,6,6,6,6,6
271570015,2,6,6,6,6,0,6
271570020,2,6,6,6,6,0,6
271570025,2,6,6,6,6,6,6
271570030,2,6,6,6,6,6,6
271570035,2,6,6,6,6,6,6
271570040,2,6,6,6,6,0,6
271570045,2,6,6,6,6,0,6
271570050,2,6,6,6,6,0,6
271570055,2,6,6,6,6,6,6
271570060,2,6,6,6,6,6,6
271570065,2,6,6,6,6,6,6
271570070,2,6,6,6,6,6,6
271570075,2,6,6,6,6,6,6
271570080,2,6,6,6,6,0,2
271570085,2,6,6,6,6,0,6
271570090,2,6,6,6,6,0,6
271570095,2,6,6,6,6,0,6
271570100,2,6,6,6,6,0,6
271570105,2,6,6,6,6,6,6
271570110,2,6,6,6,6,0,6
271570115,2,6,6,6,6,6,6
271570120,2,6,6,6,6,0,6
271570125,2,6,6,6,6,0,6
271570130,2,6,6,6,6,0,6
271570140,2,6,6,6,6,6,6
271570145,2,6,6,6,6,6,6
271570150,2,6,6,6,6,6,6
271570155,2,6,6,6,6,0,6
271570160,2,6,6,6,6,6,6
271570165,2,6,6,6,6,0,6
271570170,2,6,6,6,6,0,6
271590005,8,3,4,5,4,1,4
271590010,8,3,4,5,4,1,4
271590015,8,3,4,5,4,4,4
271590020,8,3,4,5,4,4,4
271590025,8,3,4,5,4,4,4
271590030,8,3,4,5,4,4,4
271590032,8,3,4,5,4,4,4
271590035,8,3,4,5,4,4,4
271590040,8,3,4,5,4,4,4
271590045,8,3,4,5,4,4,4
271590050,8,3,4,5,4,4,4
271590055,8,3,4,5,4,4,4
271590060,8,3,4,5,4,4,4
271590065,8,3,4,5,4,4,4
271590070,8,3,4,5,4,4,4
271590075,8,3,4,5,4,4,4
271590080,8,3,4,5,4,4,4
271590085,8,3,4,5,4,1,4
271590090,8,3,4,5,4,1,4
271590095,8,3,4,5,4,1,4
271590100,8,3,4,5,4,4,4
271590105,8,3,4,5,4,4,4
271590110,8,3,4,5,4,1,4
271590120,8,3,4,5,4,1,4
271590125,8,3,4,5,4,4,4
271610005,1,5,7,4,3,0,6
271610010,1,5,7,4,3,0,6
271610015,1,5,7,4,3,0,6
271610020,1,5,7,4,3,0,6
271610025,1,5,7,4,3,0,6
271610030,1,5,7,4,3,0,6
271610035,1,5,7,4,3,0,6
271610045,1,5,7,4,3,0,6
271610050,1,5,7,4,3,0,6
271610055,1,5,7,4,3,0,6
271610060,1,5,7,4,3,0,6
271610065,1,5,7,4,3,0,6
271610070,1,5,7,4,3,0,6
271610075,1,5,7,4,3,0,6
271610080,1,5,7,4,3,0,2
271610085,1,5,7,4,3,0,6
271610090,1,5,7,4,3,0,2
271610095,1,5,7,4,3,0,2
271610100,1,5,7,4,3,0,6
271610105,1,5,7,4,3,0,2
271610110,1,5,7,4,3,0,6
271610115,1,5,7,4,3,0,2
271630005,4,0,1,7,1,6,7
271630010,4,0,1,7,1,6,7
271630015,4,0,1,7,1,6,7
271630020,4,0,1,7,1,7,7
271630025,4,0,1,7,1,5,7
271630030,4,0,1,7,1,5,7
271630035,4,0,1,7,1,5,7
271630040,2,0,1,7,1,6,7
271630045,2,0,1,7,1,6,7
271630050,2,0,1,7,1,6,7
271630055,2,0,1,7,1,6,7
271630060,2,0,1,7,1,6,7
271630065,2,0,1,7,1,6,7
271630070,2,0,1,7,1,6,7
271630075,2,0,1,7,1,6,7
271630080,2,0,1,7,1,6,7
271630085,2,0,1,7,1,6,7
271630090,2,0,1,7,1,6,2
271630095,4,0,1,7,1,5,7
271630100,2,0,1,7,1,6,7
271630105,6,0,1,7,1,2,5
271630110,6,0,1,7,1,2,5
271630115,6,0,1,7,1,2,5
271630120,6,0,1,7,1,2,7
271630125,6,0,1,7,1,2,7
271630130,4,0,1,7,1,5,7
271630135,2,0,1,7,1,6,2
271630140,2,0,1,7,1,6,7
271630145,6,0,1,7,1,5,7
271630150,6,0,1,7,1,2,7
271630155,6,0,1,7,1,2,7
271630160,6,0,1,7,1,2,7
271630165,6,0,1,7,1,5,7
271630170,4,0,1,7,1,7,7
271630175,4,0,1,7,1,5,7
271630180,4,0,1,7,1,7,7
271630185,4,0,1,7,1,7,7
271630190,4,0,1,7,1,7,7
271630195,4,0,1,7,1,7,2
271630200,4,0,1,7,1,5,7
271630205,4,0,1,7,1,5,7
271630210,6,0,1,7,1,2,7
271630215,6,0,1,7,1,2,7
271630220,4,0,1,7,1,6,7
271630225,4,0,1,7,1,7,2
271630230,4,0,1,7,1,7,2
271630235,4,0,1,7,1,7,2
271630240,4,0,1,7,1,5,2
271630245,4,0,1,7,1,5,2
271630250,4,0,1,7,1,5,2
271630255,4,0,1,7,1,7,2
271630260,4,0,1,7,1,7,7
271630270,4,0,1,7,1,5,7
271630275,4,0,1,7,1,5,2
271630280,4,0,1,7,1,6,7
271630285,2,0,1,7,1,6,2
271630290,4,0,1,7,1,6,7
271630295,2,0,1,7,1,6,7
271630300,2,0,1,7,1,6,7
271630305,6,0,1,7,1,2,7
271630310,4,0,1,7,1,5,7
271630315,4,0,1,7,1,5,7
271630320,4,0,1,7,1,5,7
271630325,4,0,1,7,1,5,7
271630330,4,0,1,7,1,5,7
271630340,4,0,1,7,1,5,7
271630345,4,0,1,7,1,5,7
271630350,4,0,1,7,1,5,7
271630360,4,0,1,7,1,7,7
271630365,4,0,1,7,1,5,2
271630370,4,0,1,7,1,5,7
271630375,4,0,1,7,1,7,2
271630380,4,0,1,7,1,7,7
271630385,4,0,1,7,1,7,2
271630390,4,0,1,7,1,7,7
271630395,4,0,1,7,1,7,2
271630400,4,0,1,7,1,7,7
271630405,4,0,1,7,1,7,7
271630410,4,0,1,7,1,7,7
271630415,4,0,1,7,1,7,7
271630420,4,0,1,7,1,7,7
271630425,4,0,1,7,1,7,7
271630430,4,0,1,7,1,7,7
271630435,4,0,1,7,1,7,7
271630440,4,0,1,7,1,6,7
271630445,4,0,1,7,1,6,7
271630450,4,0,1,7,1,6,7
271650005,1,5,7,4,6,0,4
271650010,1,5,7,4,6,0,6
271650015,1,5,7,4,6,0,4
271650020,1,5,7,4,6,0,4
271650025,1,5,7,4,6,0,4
271650030,1,5,7,4,6,0,6
271650035,1,5,7,4,6,0,4
271650040,1,5,7,4,6,0,6
271650045,1,5,7,4,6,0,4
271650050,1,5,7,4,6,0,6
271650060,1,5,7,4,6,0,6
271650065,1,5,7,4,6,0,4
271650070,1,5,7,4,6,0,4
271650075,1,5,7,4,6,0,4
271650080,1,5,7,4,6,0,4
271650085,1,5,7,4,6,0,4
271650090,1,5,7,4,6,0,4
271650095,1,5,7,4,6,0,4
271650110,1,5,7,4,6,0,4
271650125,1,5,7,4,6,0,4
271650135,1,5,7,4,6,0,6
271670005,7,4,4,3,5,1,4
271670010,7,4,4,3,5,1,4
271670015,7,4,4,3,5,4,4
271670020,7,4,4,3,5,1,4
271670025,7,4,4,3,5,1,4
271670030,7,4,4,3,5,1,4
271670035,7,4,4,3,5,1,4
271670040,7,4,4,3,5,1,4
271670050,7,4,4,3,5,1,4
271670055,7,4,4,3,5,1,4
271670060,7,4,4,3,5,1,4
271670065,7,4,4,3,5,1,4
271670070,7,4,4,3,5,1,4
271670072,7,4,4,3,5,1,4
271670075,7,4,4,3,5,4,4
271670080,7,4,4,3,5,1,4
271670085,7,4,4,3,5,1,4
271670090,7,4,4,3,5,1,4
271670095,7,4,4,3,5,1,4
271670100,7,4,4,3,5,4,4
271670105,7,4,4,3,5,1,4
271670110,7,4,4,3,5,4,4
271670113,7,4,4,3,5,1,4
271670115,7,4,4,3,5,1,4
271670120,7,4,4,3,5,1,4
271670125,7,4,4,3,5,4,4
271670130,7,4,4,3,5,4,4
271670135,7,4,4,3,5,4,4
271670140,7,4,4,3,5,1,4
271670145,7,4,4,3,5,4,4
271670150,7,4,4,3,5,4,4
271670155,7,4,4,3,5,4,4
271690005,1,6,6,6,6,0,6
271690010,1,6,6,6,6,0,6
271690015,1,6,6,6,6,0,6
271690020,1,6,6,6,6,0,6
271690025,1,6,6,6,6,0,6
271690030,1,6,6,6,6,0,6
271690035,1,6,6,6,6,0,6
271690040,1,6,6,6,6,0,6
271690042,1,6,6,6,6,0,6
271690045,1,6,6,6,6,0,6
271690050,1,6,6,6,6,0,6
271690055,1,6,6,6,6,0,6
271690058,1,6,6,6,6,0,6
271690060,1,6,6,6,6,0,6
271690065,1,6,6,6,6,0,6
271690070,1,6,6,6,6,0,6
271690075,1,6,6,6,6,0,6
271690080,1,6,6,6,6,0,6
271690085,1,6,6,6,6,0,6
271690090,1,6,6,6,6,0,6
271690095,1,6,6,6,6,0,6
271690100,1,6,6,6,6,0,6
271690105,1,6,6,6,6,0,6
271690110,1,6,6,6,6,0,6
271690115,1,6,6,6,6,0,6
271690120,1,6,6,6,6,0,6
271690125,1,6,6,6,6,0,6
271690130,1,6,6,6,6,0,6
271690135,1,6,6,6,6,0,6
271690140,1,6,6,6,6,0,6
271690145,1,6,6,6,6,0,6
271690150,1,6,6,6,6,0,6
271690155,1,6,6,6,6,0,6
271690160,1,6,6,6,6,0,6
271690165,1,6,6,6,6,0,6
271690170,1,6,6,6,6,0,6
271690175,1,6,6,6,6,0,6
271690180,1,6,6,6,6,0,6
271690185,1,6,6,6,6,0,6
271690190,1,6,6,6,6,0,6
271690195,1,6,6,6,6,0,6
271690200,1,6,6,6,6,0,6
271690205,1,6,6,6,6,0,6
271690210,1,6,6,6,6,0,6
271690215,1,6,6,6,6,0,6
271690220,1,6,6,6,6,0,6
271690225,1,6,6,6,6,0,6
271690230,1,6,6,6,6,0,6
271690240,1,6,6,6,6,0,6
271710005,6,4,4,5,0,2,0
271710010,6,4,4,5,0,1,5
271710015,6,4,4,5,0,1,4
271710020,6,4,4,5,0,2,5
271710025,6,4,4,5,0,2,5
271710030,6,4,4,5,0,2,5
271710031,6,4,4,5,0,2,5
271710035,6,4,4,5,0,2,5
271710040,6,4,4,5,0,2,5
271710045,6,4,4,5,0,1,4
271710050,6,4,4,5,0,1,4
271710055,6,4,4,5,0,1,4
271710060,6,4,4,5,0,1,4
271710065,6,4,4,5,0,1,5
271710070,6,4,4,5,0,2,5
271710075,6,4,4,5,0,3,0
271710085,6,4,4,5,0,3,0
271710090,6,4,4,5,0,1,4
271710095,6,4,4,5,0,2,0
271710096,6,4,4,5,0,3,0
271710100,6,4,4,5,0,1,0
271710105,6,4,4,5,0,1,5
271710110,6,4,4,5,0,2,5
271710111,6,4,4,5,0,1,5
271710115,6,4,4,5,0,1,0
271710120,6,4,4,5,0,1,0
271710125,6,4,4,5,0,2,5
271710130,6,4,4,5,0,2,0
271710135,6,4,4,5,0,1,0
271710140,6,4,4,5,0,2,0
271710141,6,4,4,5,0,2,5
271710142,6,4,4,5,0,2,5
271710145,6,4,4,5,0,3,0
271710150,6,4,4,5,0,3,0
271710155,6,4,4,5,0,2,0
271710156,6,4,4,5,0,2,0
271710160,6,4,4,5,0,2,5
271710165,6,4,4,5,0,1,4
271710170,6,4,4,5,0,1,4
271710175,6,4,4,5,0,1,4
271710180,6,4,4,5,0,1,4
271710185,6,4,4,5,0,1,0
271710190,6,4,4,5,0,1,0
271730005,7,5,4,3,5,1,4
271730010,7,5,4,3,5,1,6
271730020,7,5,4,3,5,1,4
271730025,7,5,4,3,5,1,4
271730030,7,5,4,3,5,1,4
271730035,7,5,4,3,5,1,4
271730040,7,5,4,3,5,1,6
271730045,7,5,4,3,5,1,4
271730050,7,5,4,3,5,1,4
271730065,7,5,4,3,5,1,4
271730070,7,5,4,3,5,1,4
271730075,7,5,4,3,5,1,4
271730080,7,5,4,3,5,1,4
271730085,7,5,4,3,5,1,4
271730090,7,5,4,3,5,1,4
271730095,7,5,4,3,5,1,6
271730100,7,5,4,3,5,1,4
271730105,7,5,4,3,5,1,4
271730110,7,5,4,3,5,1,4
271730115,7,5,4,3,5,1,4
271730120,7,5,4,3,5,1,4
271730125,7,5,4,3,5,1,4
271730130,7,5,4,3,5,1,4
271730135,7,5,4,3,5,1,4
271730140,7,5,4,3,5,1,4
271730145,7,5,4,3,5,1,4
271730150,7,5,4,3,5,1,4
271730155,7,5,4,3,5,1,4
271730160,7,5,4,3,5,1,4
271730165,7,5,4,3,5,1,4
