VTDID,Plan1,Plan2,Plan3,Plan4,Plan5,Plan6
270010055,8,8,8,8,8,4
270010065,8,8,8,8,8,4
270010070,8,8,8,8,8,4
270010080,8,8,8,8,8,4
270010100,8,8,8,8,8,4
270010105,8,8,8,8,8,4
270010110,8,8,8,8,8,4
270010120,8,8,8,8,8,4
270010125,8,8,8,8,8,4
270010130,8,8,8,8,8,4
270010132,8,8,8,8,8,4
270010150,8,8,8,8,8,4
270010155,8,8,8,8,8,4
270010160,8,8,8,8,8,4
270010165,8,8,8,8,8,4
270010175,8,8,8,8,8,4
270010180,8,8,8,8,8,4
270010190,8,8,8,8,8,4
270010195,8,8,8,8,8,4
270010200,8,8,8,8,8,4
270010205,8,8,8,8,8,4
270010210,8,8,8,8,8,4
270010220,8,8,8,8,8,4
270010230,8,8,8,8,8,4
270010240,8,8,8,8,8,4
270010260,8,8,8,8,8,4
270010285,8,8,8,8,8,4
270010290,8,8,8,8,8,4
270050005,7,7,7,7,7,4
270050010,7,7,7,7,7,4
270050015,7,7,7,7,7,4
270050020,7,7,7,7,7,4
270050025,7,7,7,7,7,4
270050030,7,7,7,7,7,4
270050035,7,7,7,7,7,4
270050040,7,7,7,7,7,4
270050045,7,7,7,7,7,4
270050050,7,7,7,7,7,4
270050051,7,7,7,7,7,4
270050052,7,7,7,7,7,4
270050055,7,7,7,7,7,4
270050065,7,7,7,7,7,4
270050075,7,7,7,7,7,4
270050082,7,7,7,7,7,4
270050085,7,7,7,7,7,4
270050090,7,7,7,7,7,4
270050095,7,7,7,7,8,4
270050100,7,7,7,7,7,4
270050105,7,7,7,7,7,4
270050110,7,7,7,7,7,4
270050115,7,7,7,7,7,4
270050120,7,7,7,7,7,4
270050125,7,7,7,7,7,4
270050130,7,7,7,7,7,4
270050135,7,7,7,7,7,4
270050140,7,7,7,7,7,4
270050145,7,7,7,7,7,4
270050150,7,7,7,7,7,4
270050155,7,7,7,7,7,4
270050160,7,7,7,7,8,4
270050165,7,7,7,7,7,4
270050170,7,7,7,7,7,4
270050175,7,7,7,7,7,4
270050180,7,7,7,7,7,4
270050185,7,8,7,7,8,4
270050190,7,7,7,7,7,4
270050195,7,7,7,7,7,4
270050200,7,7,7,7,7,4
270050205,7,7,7,7,7,4
270050210,7,7,7,7,7,4
270050215,7,7,7,7,7,4
270050220,7,7,7,7,8,4
270050225,7,7,7,7,7,4
270050230,7,7,7,7,7,4
270050235,7,7,7,7,7,4
270050240,7,7,7,7,7,4
270070005,7,7,7,7,7,4
270070010,7,7,7,7,8,4
270070015,8,7,7,7,7,4
270070020,8,7,7,7,7,4
270070025,8,7,7,7,7,4
270070030,8,7,7,7,7,4
270070032,8,8,8,7,8,4
270070035,8,7,7,7,7,4
270070040,8,7,7,8,7,4
270070045,7,7,7,7,7,4
270070050,8,8,8,8,8,4
270070055,8,8,8,8,8,4
270070060,7,7,7,7,7,4
270070065,8,8,8,8,8,4
270070070,8,8,8,8,8,4
270070075,7,7,7,7,7,4
270070080,8,8,8,8,8,4
270070085,8,8,8,8,8,4
270070090,8,7,7,7,7,4
270070095,8,8,8,8,8,4
270070100,7,8,7,7,7,4
270070105,8,8,8,8,8,4
270070110,8,8,8,8,8,4
270070115,7,7,7,7,7,4
270070120,7,7,7,7,7,4
270070125,7,7,7,7,7,4
270070130,7,7,7,7,7,4
270070135,8,8,8,8,8,4
270070140,7,7,7,7,7,4
270070145,7,7,7,7,7,4
270070150,7,7,7,7,7,4
270070155,7,8,7,7,8,4
270070160,8,8,8,8,8,4
270070165,8,7,8,8,8,4
270070170,8,8,8,8,8,4
270070172,7,7,7,7,7,4
270070175,8,8,8,8,8,4
270070180,7,7,7,7,7,4
270070185,8,8,8,8,8,4
270070190,8,8,8,8,8,4
270070195,7,7,7,7,7,4
270070200,7,7,7,7,7,4
270070202,7,7,7,7,7,4
270070205,7,7,7,7,7,4
270070210,8,8,8,8,8,4
270070215,7,7,7,7,7,4
270070220,7,7,7,7,7,4
270070225,7,8,7,7,8,4
270070230,7,7,7,7,7,4
270070235,8,8,8,8,8,4
270070240,8,8,8,8,8,4
270070245,8,8,8,8,8,4
270070250,8,8,8,8,8,4
270070255,8,8,8,8,8,4
270070260,8,8,8,8,8,4
270070265,8,8,8,8,8,4
270070270,8,8,8,8,8,4
270070275,7,8,7,7,8,4
270070280,7,7,7,7,8,4
270070285,8,8,8,8,8,4
270070290,7,7,7,7,7,4
270070295,7,7,7,7,7,4
270070300,7,7,7,7,7,4
270170005,8,8,8,8,8,4
270170010,8,8,8,8,8,4
270170015,8,8,8,8,8,4
270170020,8,8,8,8,8,4
270170025,8,8,8,8,8,4
270170030,8,8,8,8,8,4
270170035,8,8,8,8,8,4
270170040,8,8,8,8,8,4
270170045,8,8,8,8,8,4
270170050,8,8,8,8,8,4
270170055,8,8,8,8,8,4
270170060,8,8,8,8,8,4
270170065,8,8,8,8,8,4
270170068,8,8,8,8,8,4
270170070,8,8,8,8,8,4
270170075,8,8,8,8,8,4
270170080,8,8,8,8,8,4
270170085,8,8,8,8,8,4
270170090,8,8,8,8,8,4
270170095,8,8,8,8,8,4
270170100,8,8,8,8,8,4
270170105,8,8,8,8,8,4
270170110,8,8,8,8,8,4
270170115,8,8,8,8,8,4
270170118,8,8,8,8,8,4
270170120,8,8,8,8,8,4
270170125,8,8,8,8,8,4
270170130,8,8,8,8,8,4
270170135,8,8,8,8,8,4
270170140,8,8,8,8,8,4
270170145,8,8,8,8,8,4
270170150,8,8,8,8,8,4
270170155,8,8,8,8,8,4
270170165,8,8,8,8,8,4
270170170,8,8,8,8,8,4
270170175,8,8,8,8,8,4
270170180,8,8,8,8,8,4
270170185,8,8,8,8,8,4
270210005,8,8,8,8,8,4
270210010,8,8,8,8,8,4
270210015,8,8,8,8,8,4
270210025,8,8,8,8,8,4
270210030,8,8,8,8,8,4
270210035,8,8,8,8,8,4
270210040,8,8,8,8,8,4
270210045,8,8,8,8,8,4
270210050,8,8,8,8,8,4
270210055,8,8,8,8,8,4
270210060,8,8,8,8,8,4
270210065,8,8,8,8,8,4
270210070,8,8,8,8,7,1
270210075,8,8,8,8,8,4
270210080,8,8,8,8,8,4
270210085,8,8,8,8,8,4
270210090,8,8,8,8,8,4
270210105,8,8,8,8,8,4
270210110,8,8,8,8,8,4
270210115,8,8,8,8,8,4
270210118,8,8,8,8,8,4
270210120,8,8,8,8,8,4
270210125,8,8,8,8,8,1
270210130,8,8,8,8,8,4
270210135,8,8,8,8,8,4
270210140,8,8,8,8,8,4
270210145,8,8,8,8,8,4
270210150,8,8,8,8,8,4
270210155,8,8,8,8,8,4
270210160,8,8,8,8,8,4
270210165,8,8,8,8,8,4
270210170,8,8,8,8,8,4
270210180,8,8,8,8,8,4
270210185,8,8,8,8,8,4
270210188,8,8,8,8,8,4
270210190,8,8,8,8,8,4
270210200,8,8,8,8,8,4
270210205,8,8,8,8,8,4
270210210,8,8,8,8,8,4
270210215,8,8,8,8,8,4
270210220,8,8,8,8,8,4
270210225,8,8,8,8,8,4
270210230,8,8,8,8,8,4
270210235,8,8,8,8,8,4
270210237,8,8,8,8,8,4
270210240,8,8,8,8,8,4
270210245,8,8,8,8,8,4
270210247,8,8,8,8,8,4
270210250,8,8,8,8,8,4
270210252,8,8,8,8,8,4
270210255,8,8,8,8,8,4
270210260,8,8,8,8,8,4
270210262,8,8,8,8,8,4
270210270,8,8,8,8,8,4
270210275,8,8,8,8,8,4
270210280,8,8,8,8,8,4
270210285,8,8,8,8,8,4
270210290,8,8,8,8,8,4
270210295,8,8,8,8,8,4
270210300,8,8,8,8,8,4
270210305,8,8,8,8,8,4
270210310,8,8,8,8,8,4
270210312,8,8,8,8,8,4
270210315,8,8,8,8,8,4
270210317,8,8,8,8,8,4
270210320,8,8,8,8,8,4
270270005,7,7,7,7,7,4
270270010,7,7,7,7,7,4
270270015,7,7,7,7,7,4
270270020,7,7,7,7,7,4
270270025,7,7,7,7,7,1
270270030,7,7,7,7,7,4
270270035,7,7,7,7,7,4
270270040,7,7,7,7,7,4
270270045,7,7,7,7,7,4
270270050,7,7,7,7,7,4
270270055,7,7,7,7,7,4
270270060,7,7,7,7,7,4
270270065,7,7,7,7,7,4
270270070,7,7,7,7,7,4
270270075,7,7,7,7,7,4
270270080,7,7,7,7,7,4
270270085,7,7,7,7,7,4
270270090,7,7,7,7,7,4
270270095,7,7,7,7,7,4
270270100,7,7,7,7,7,4
270270105,7,7,7,7,7,4
270270110,7,7,7,7,7,4
270270115,7,7,7,7,7,4
270270120,7,7,7,7,7,4
270270125,7,7,7,7,7,4
270270130,7,7,7,7,7,4
270270135,7,7,7,7,7,4
270270140,7,7,7,7,7,4
270270145,7,7,7,7,7,4
270270150,7,7,7,7,7,4
270270155,7,7,7,7,7,4
270270157,7,7,7,7,7,4
270270160,7,7,7,7,7,4
270270165,7,7,7,7,7,4
270270170,7,7,7,7,7,4
270270175,7,7,7,7,7,4
270270180,7,7,7,7,7,4
270270185,7,7,7,7,7,4
270270190,7,7,7,7,7,4
270270195,7,7,7,7,7,4
270270200,7,7,7,7,7,4
270270205,7,7,7,7,7,4
270270210,7,7,7,7,7,4
270270212,7,7,7,7,7,4
270270214,7,7,7,7,7,4
270270215,7,7,7,7,7,4
270270217,7,7,7,7,7,4
270270220,7,7,7,7,7,4
270270225,7,7,7,7,7,4
270270230,7,7,7,7,7,4
270270235,7,7,7,7,7,4
270270240,7,7,7,7,7,4
270270245,7,7,7,7,7,4
270270250,7,7,7,7,7,4
270270255,7,7,7,7,7,4
270270260,7,7,7,7,7,4
270270265,7,7,7,7,7,4
270270270,7,7,7,7,7,4
270290005,7,7,7,7,7,4
270290010,7,7,7,7,8,4
270290015,7,7,7,7,7,4
270290020,7,7,7,7,7,4
270290025,7,7,7,7,7,4
270290030,7,7,7,7,7,4
270290035,7,7,7,7,7,4
270290040,7,7,7,7,7,4
270290045,7,7,7,7,7,4
270290050,7,7,7,7,7,4
270290055,7,7,7,7,7,4
270290056,7,7,7,7,7,4
270290060,7,7,7,7,7,4
270290065,7,7,7,7,8,4
270290070,7,7,7,7,7,4
270290075,7,7,7,7,7,4
270290080,7,7,7,7,7,4
270290085,7,7,7,7,7,4
270290090,7,7,7,7,7,4
270290095,7,7,7,7,7,4
270290100,7,7,7,7,7,4
270290105,7,7,7,7,7,4
270290110,7,7,7,7,8,4
270290115,7,7,7,7,7,4
270290120,7,7,7,7,7,4
270290125,7,7,7,7,7,4
270290130,7,7,7,7,7,4
270290135,7,7,7,7,8,4
270290140,7,7,7,7,8,4
270310005,8,8,8,8,8,4
270310010,8,8,8,8,8,4
270310015,8,8,8,8,8,4
270310020,8,8,8,8,8,4
270310025,8,8,8,8,8,4
270310030,8,8,8,8,8,4
270310035,8,8,8,8,8,4
270310040,8,8,8,8,8,4
270310045,8,8,8,8,8,4
270310050,8,8,8,8,8,4
270310055,8,8,8,8,8,4
270310060,8,8,8,8,8,4
270310065,8,8,8,8,8,4
270350055,8,8,8,8,8,4
270350075,8,8,8,8,8,4
270350076,8,8,8,8,8,4
270350115,8,8,8,8,8,4
270350120,8,8,8,8,8,4
270350125,8,8,8,8,8,4
270350140,8,8,8,8,8,4
270350155,8,8,8,8,8,4
270350175,8,8,8,8,8,4
270350180,8,8,8,8,8,4
270350195,8,8,8,8,8,4
270350205,8,8,8,8,8,4
270350220,8,8,8,8,8,4
270350235,8,8,8,8,8,4
270350240,8,8,8,8,8,4
270350280,8,8,8,8,8,4
270510010,7,7,7,7,7,1
270510015,7,7,7,7,7,1
270510020,7,7,7,7,7,1
270510025,7,7,7,7,7,1
270510040,7,7,7,7,7,1
270510045,7,7,7,7,7,1
270510060,7,7,7,7,7,1
270510065,7,7,7,7,7,1
270510070,7,7,7,7,7,1
270510075,7,7,7,7,7,1
270510080,7,7,7,7,7,1
270510085,7,7,7,7,7,1
270510095,7,7,7,7,7,1
270510100,7,7,7,7,7,1
270510105,7,7,7,7,7,1
270510110,7,7,7,7,7,1
270510115,7,7,7,7,7,1
270570005,8,8,8,8,8,4
270570010,8,8,8,8,8,4
270570015,8,7,8,8,8,4
270570020,8,8,8,8,8,4
270570022,8,8,8,8,8,4
270570025,8,8,8,8,8,4
270570030,8,8,8,8,8,4
270570035,8,8,8,8,8,4
270570037,8,8,8,8,8,4
270570040,8,8,8,8,8,4
270570045,8,8,8,8,8,4
270570050,8,8,8,8,8,4
270570052,8,8,8,8,8,4
270570055,8,8,8,8,8,4
270570060,8,8,8,8,8,4
270570065,8,8,8,8,8,4
270570070,8,8,8,8,8,4
270570075,8,8,8,8,8,4
270570080,8,8,8,8,8,4
270570085,8,8,8,8,8,4
270570090,8,8,8,8,8,4
270570095,8,8,8,8,8,4
270570097,8,8,8,8,8,4
270570100,8,8,8,8,8,4
270570105,8,8,8,8,8,4
270570110,8,8,8,8,8,4
270570115,8,8,8,8,8,4
270570120,8,8,8,8,8,4
270570122,8,8,8,8,8,4
270570125,8,8,8,8,8,4
270570130,8,8,8,8,8,4
270570135,8,8,8,8,8,4
270570137,8,8,8,8,8,4
270570140,8,8,8,8,8,4
270570145,8,8,8,8,8,4
270570150,8,8,8,8,8,4
270570152,8,8,8,8,8,4
270570155,8,8,8,8,8,4
270610005,8,8,8,8,8,4
270610010,8,8,8,8,8,4
270610015,8,8,8,8,8,4
270610020,8,8,8,8,8,4
270610025,8,8,8,8,8,4
270610030,8,8,8,8,8,4
270610035,8,8,8,8,8,4
270610040,8,8,8,8,8,4
270610045,8,8,8,8,8,4
270610050,8,8,8,8,8,4
270610055,8,8,8,8,8,4
270610060,8,8,8,8,8,4
270610065,8,8,8,8,8,4
270610070,8,8,8,8,8,4
270610074,8,8,8,8,8,4
270610076,8,8,8,8,8,4
270610085,8,8,8,8,8,4
270610090,8,8,8,8,8,4
270610095,8,8,8,8,8,4
270610096,8,8,8,8,8,4
270610100,8,8,8,8,8,4
270610101,8,8,8,8,8,4
270610110,8,8,8,8,8,4
270610120,8,8,8,8,8,4
270610125,8,8,8,8,8,4
270610130,8,8,8,8,8,4
270610135,8,8,8,8,8,4
270610140,8,8,8,8,8,4
270610145,8,8,8,8,8,4
270610151,8,8,8,8,8,4
270610155,8,8,8,8,8,4
270610175,8,8,8,8,8,4
270610184,8,8,8,8,8,4
270610189,8,8,8,8,8,4
270610195,8,8,8,8,8,4
270610200,8,8,8,8,8,4
270610205,8,8,8,8,8,4
270610215,8,8,8,8,8,4
270610220,8,8,8,8,8,4
270610225,8,8,8,8,8,4
270610227,8,8,8,8,8,4
270610230,8,8,8,8,8,4
270610235,8,8,8,8,8,4
270610240,8,8,8,8,8,4
270610244,8,8,8,8,8,4
270610245,8,8,8,8,8,4
270610247,8,8,8,8,8,4
270610249,8,8,8,8,8,4
270610255,8,8,8,8,8,4
270610260,8,8,8,8,8,4
270610265,8,8,8,8,8,4
270610270,8,8,8,8,8,4
270610271,8,8,8,8,8,4
270610280,8,8,8,8,8,4
270610285,8,8,8,8,8,4
270610290,8,8,8,8,8,4
270610295,8,8,8,8,8,4
270610300,8,8,8,8,8,4
270610305,8,8,8,8,8,4
270610310,8,8,8,8,8,4
270610320,8,8,8,8,8,4
270610327,8,8,8,8,8,4
270610330,8,8,8,8,8,4
270610335,8,8,8,8,8,4
270610338,8,8,8,8,8,4
270610339,8,8,8,8,8,4
270610340,8,8,8,8,8,4
270610345,8,8,8,8,8,4
270610350,8,8,8,8,8,4
270610355,8,8,8,8,8,4
270610360,8,8,8,8,8,4
270610365,8,8,8,8,8,4
270610370,8,8,8,8,8,4
270610371,8,8,8,8,8,4
270610372,8,8,8,8,8,4
270610375,8,8,8,8,8,4
270610380,8,8,8,8,8,4
270610385,8,8,8,8,8,4
270650030,8,8,8,8,8,4
270650065,8,8,8,8,8,4
270690005,7,7,7,7,7,4
270690010,7,7,7,7,7,4
270690015,7,7,7,7,7,4
270690020,7,7,7,7,7,4
270690025,7,7,7,7,7,4
270690030,7,7,7,7,7,4
270690035,7,7,7,7,7,4
270690040,7,7,7,7,7,4
270690045,7,7,7,7,7,4
270690050,7,7,7,7,7,4
270690055,7,7,7,7,7,4
270690060,7,7,7,7,7,4
270690065,7,7,7,7,7,4
270690070,7,7,7,7,7,4
270690075,7,7,7,7,7,4
270690080,7,7,7,7,7,4
270690085,7,7,7,7,7,4
270690090,7,7,7,7,7,4
270690092,7,7,7,7,7,4
270690095,7,7,7,7,7,4
270690100,7,7,7,7,7,4
270690105,7,7,7,7,7,4
270690110,7,7,7,7,7,4
270690115,7,7,7,7,7,4
270690118,7,7,7,7,7,4
270690120,7,7,7,7,7,4
270690125,7,7,7,7,7,4
270690130,7,7,7,7,7,4
270690135,7,7,7,7,7,4
270690140,7,7,7,7,7,4
270690145,7,7,7,7,7,4
270690150,7,7,7,7,7,4
270690155,7,7,7,7,7,4
270690160,7,7,7,7,7,4
270690165,7,7,7,7,7,4
270690170,7,7,7,7,7,4
270690175,7,7,7,7,7,4
270690180,7,7,7,7,7,4
270690185,7,7,7,7,7,4
270710005,8,8,8,8,8,4
270710023,8,8,8,8,8,4
270710050,8,8,8,8,8,4
270710055,8,8,8,8,8,4
270710060,8,8,8,8,8,4
270710070,8,8,8,8,8,4
270710075,8,8,8,8,8,4
270710080,8,8,8,8,8,4
270710082,8,8,8,8,8,4
270710083,8,8,8,8,8,4
270710090,8,8,8,8,8,4
270710100,8,8,8,8,8,4
270710115,8,8,8,8,8,4
270710120,8,8,8,8,8,4
270710121,8,8,8,8,8,4
270710140,8,8,8,8,8,4
270710170,8,8,8,8,8,4
270710175,8,8,8,8,8,4
270710180,8,8,8,8,8,4
270710185,8,8,8,8,8,4
270710190,8,8,8,8,8,4
270710195,8,8,8,8,8,4
270750005,8,8,8,8,8,4
270750010,8,8,8,8,8,4
270750020,8,8,8,8,8,4
270750025,8,8,8,8,8,4
270750035,8,8,8,8,8,4
270750040,8,8,8,8,8,4
270750050,8,8,8,8,8,4
270750060,8,8,8,8,8,4
270750065,8,8,8,8,8,4
270750070,8,8,8,8,8,4
270750080,8,8,8,8,8,4
270750090,8,8,8,8,8,4
270750105,8,8,8,8,8,4
270750110,8,8,8,8,8,4
270750115,8,8,8,8,8,4
270750120,8,8,8,8,8,4
270750125,8,8,8,8,8,4
270750130,8,8,8,8,8,4
270750135,8,8,8,8,8,4
270770005,7,7,7,7,7,4
270770010,7,7,7,7,7,4
270770015,7,7,7,7,7,4
270770020,7,7,7,7,7,4
270770030,7,7,7,7,7,4
270770031,7,7,7,7,7,4
270770035,7,7,7,7,7,4
270770040,7,7,7,7,7,4
270770044,7,7,7,7,7,4
270770045,7,7,7,7,7,4
270770046,7,7,7,7,7,4
270770050,7,7,7,7,7,4
270770055,7,7,7,7,7,4
270770065,7,8,7,7,7,4
270770070,7,7,7,7,7,4
270770075,7,7,7,7,7,4
270770080,7,7,7,7,7,4
270870005,7,7,7,7,7,4
270870010,7,7,7,7,7,4
270870015,7,7,7,7,7,4
270870020,7,7,7,7,7,4
270870025,7,7,7,7,7,4
270870030,7,7,7,7,7,4
270870035,7,7,7,7,7,4
270870040,7,7,7,7,7,4
270870045,7,7,7,7,7,4
270870050,7,7,7,7,7,4
270870055,7,7,7,7,7,4
270870060,7,7,7,7,7,4
270870065,7,7,7,7,7,4
270870070,7,7,7,7,7,4
270870075,7,7,7,7,7,4
270870080,7,7,7,7,7,4
270870085,7,7,7,7,7,4
270870090,7,7,7,7,7,4
270870095,7,7,7,7,7,4
270890005,7,7,7,7,7,4
270890010,7,7,7,7,7,4
270890015,7,7,7,7,7,4
270890020,7,7,7,7,7,4
270890025,7,7,7,7,7,4
270890030,7,7,7,7,7,4
270890035,7,7,7,7,7,4
270890040,7,7,7,7,7,4
270890045,7,7,7,7,7,4
270890050,7,7,7,7,7,4
270890055,7,7,7,7,7,4
270890060,7,7,7,7,7,4
270890065,7,7,7,7,7,4
270890070,7,7,7,7,7,4
270890075,7,7,7,7,7,4
270890080,7,7,7,7,8,4
270890085,7,7,7,7,7,4
270890090,7,7,7,7,7,4
270890095,7,7,7,7,7,4
270890100,7,7,7,7,7,4
270890105,7,7,7,7,7,4
270890110,7,7,7,7,7,4
270890115,7,7,7,7,7,4
270890120,7,7,7,7,7,4
270890125,7,7,7,7,7,4
270890130,7,7,7,7,7,4
270890135,7,7,7,7,8,4
270890140,7,7,7,7,7,4
270890145,7,7,7,7,7,4
270890150,7,7,7,7,7,4
270890155,7,7,7,7,7,4
270890160,7,7,7,7,7,4
270890165,7,7,7,7,7,4
270890166,7,7,7,7,7,4
270890170,7,7,7,7,7,4
270890175,7,7,7,7,7,4
270890180,7,7,7,7,7,4
270890185,7,7,7,7,7,4
270890190,7,7,7,7,7,4
270890195,7,7,7,7,7,4
270890200,7,7,7,7,7,4
270890205,7,7,7,7,7,4
270890210,7,7,7,7,8,4
270890215,7,7,7,7,7,4
270890220,7,7,7,7,7,4
270890225,7,7,7,7,7,4
270890230,7,7,7,7,7,4
270890235,7,7,7,7,7,4
270890240,7,7,7,7,7,4
270890245,7,7,7,7,7,4
270890250,7,7,7,7,7,4
270890255,7,7,7,7,8,4
270890260,7,7,7,7,7,4
270890265,7,7,7,7,7,4
270890270,7,7,7,7,7,4
270890275,7,7,7,7,7,4
270890285,7,7,7,7,7,4
270890290,7,7,7,7,7,4
270890295,7,7,7,7,7,4
270890300,7,7,7,7,7,4
271070005,7,7,7,7,7,4
271070010,7,7,7,7,7,4
271070015,7,7,7,7,7,4
271070020,7,7,7,7,7,4
271070025,7,7,7,7,7,4
271070030,7,7,7,7,7,4
271070035,7,7,7,7,7,4
271070040,7,7,7,7,7,4
271070045,7,7,7,7,7,4
271070050,7,7,7,7,7,4
271070055,7,7,7,7,7,4
271070060,7,7,7,7,7,4
271070065,7,7,7,7,7,4
271070070,7,7,7,7,7,4
271070075,7,7,7,7,7,4
271070080,7,7,7,7,7,4
271070085,7,7,7,7,7,4
271070090,7,7,7,7,7,4
271070095,7,7,7,7,7,4
271070100,7,7,7,7,7,4
271070105,7,7,7,7,7,4
271070110,7,7,7,7,7,4
271070115,7,7,7,7,7,4
271070120,7,7,7,7,7,4
271070125,7,7,7,7,7,4
271070130,7,7,7,7,7,4
271070135,7,7,7,7,7,4
271070140,7,7,7,7,7,4
271070145,7,7,7,7,7,4
271070150,7,7,7,7,7,4
271070155,7,7,7,7,7,4
271070160,7,7,7,7,7,4
271070165,7,7,7,7,7,4
271110005,7,7,7,7,7,1
271110010,7,7,7,7,7,1
271110015,7,7,7,7,7,1
271110025,7,7,7,7,7,4
271110040,7,7,7,7,7,1
271110045,7,7,7,7,7,4
271110050,7,7,7,7,7,4
271110055,7,7,7,7,7,1
271110075,7,7,7,7,7,4
271110080,7,7,7,7,7,1
271110085,7,7,7,7,7,1
271110090,7,7,7,7,7,4
271110105,7,7,7,7,7,4
271110110,7,7,7,7,7,4
271110115,7,7,7,7,7,4
271110130,7,7,7,7,7,4
271110140,7,7,7,7,7,1
271110145,7,7,7,7,7,1
271110155,7,7,7,7,7,4
271110160,7,7,7,7,7,4
271110165,7,7,7,7,7,1
271110170,7,7,7,7,7,1
271110175,7,7,7,7,7,1
271110180,7,7,7,7,7,1
271110185,7,7,7,7,7,1
271110186,7,7,7,7,7,1
271110190,7,7,7,7,7,1
271110195,7,7,7,7,7,1
271110200,7,7,7,7,7,1
271110205,7,7,7,7,7,1
271110210,7,7,7,7,7,1
271110220,7,7,7,7,7,1
271110230,7,7,7,7,7,4
271110245,7,7,7,7,7,4
271110250,7,7,7,7,7,4
271110260,7,7,7,7,7,1
271110270,7,7,7,7,7,4
271110275,7,7,7,7,7,1
271110280,7,7,7,7,7,4
271110285,7,7,7,7,7,4
271110290,7,7,7,7,7,4
271110300,7,7,7,7,7,4
271110310,7,7,7,7,7,1
271110315,7,7,7,7,7,1
271110320,7,7,7,7,7,1
271110325,7,7,7,7,7,1
271110330,7,7,7,7,7,1
271110335,7,7,7,7,7,4
271110350,7,7,7,7,7,4
271110355,7,7,7,7,7,4
271110360,7,7,7,7,7,4
271110365,7,7,7,7,7,4
271110370,7,7,7,7,7,4
271110375,7,7,7,7,7,4
271110380,7,7,7,7,7,4
271110385,7,7,7,7,7,4
271110395,7,7,7,7,7,4
271110400,7,7,7,7,7,4
271110405,7,7,7,7,7,1
271110415,7,7,7,7,7,4
271110420,7,7,7,7,7,1
271110435,7,7,7,7,7,4
271110450,7,7,7,7,7,1
271130005,7,7,7,7,7,4
271130010,7,7,7,7,7,4
271130015,7,7,7,7,7,4
271130020,7,7,7,7,7,4
271130025,7,7,7,7,7,4
271130030,7,7,7,7,7,4
271130035,7,7,7,7,7,4
271130040,7,7,7,7,7,4
271130045,7,7,7,7,7,4
271130050,7,7,7,7,7,4
271130055,7,7,7,7,7,4
271130060,7,7,7,7,7,4
271130065,7,7,7,7,7,4
271130070,7,7,7,7,7,4
271130075,7,7,7,7,7,4
271130080,7,7,7,7,7,4
271130085,7,7,7,7,7,4
271130090,7,7,7,7,7,4
271130095,7,7,7,7,7,4
271130100,7,7,7,7,7,4
271130105,7,7,7,7,7,4
271130110,7,7,7,7,7,4
271130115,7,7,7,7,7,4
271130120,7,7,7,7,7,4
271130125,7,7,7,7,7,4
271130135,7,7,7,7,7,4
271130150,7,7,7,7,7,4
271130155,7,7,7,7,7,4
271130165,7,7,7,7,7,4
271130180,7,7,7,7,7,4
271130195,7,7,7,7,7,4
271150010,8,8,8,8,8,2
271150015,8,8,8,8,8,2
271150025,8,8,8,8,8,4
271150030,8,8,8,8,8,4
271150045,8,8,8,8,8,2
271150050,8,8,8,8,8,2
271150070,8,8,8,8,8,4
271150080,8,8,8,8,8,2
271150085,8,8,8,8,8,4
271150090,8,8,8,8,8,4
271150095,8,8,8,8,8,2
271150115,8,8,8,8,8,4
271150120,8,8,8,8,8,4
271150125,8,8,8,8,8,2
271150145,8,8,8,8,8,2
271150150,8,8,8,8,8,4
271150155,8,8,8,8,8,2
271150160,8,8,8,8,8,2
271150165,8,8,8,8,8,2
271150170,8,8,8,8,8,2
271150190,8,8,8,8,8,4
271150207,8,8,8,8,8,2
271150221,8,8,8,8,8,2
271150223,8,8,8,8,8,2
271150225,8,8,8,8,8,2
271150230,8,8,8,8,8,2
271150235,8,8,8,8,8,2
271150240,8,8,8,8,8,2
271190005,7,7,7,7,7,4
271190010,7,7,7,7,7,4
271190015,7,7,7,7,7,4
271190020,7,7,7,7,7,4
271190025,7,7,7,7,7,4
271190030,7,7,7,7,7,4
271190035,7,7,7,7,7,4
271190040,7,7,7,7,7,4
271190045,7,7,7,7,7,4
271190050,7,7,7,7,7,4
271190055,7,7,7,7,7,4
271190060,7,7,7,7,7,4
271190065,7,7,7,7,7,4
271190070,7,7,7,7,7,4
271190075,7,7,7,7,7,4
271190080,7,7,7,7,7,4
271190085,7,7,7,7,7,4
271190090,7,7,7,7,7,4
271190105,7,7,7,7,7,4
271190110,7,7,7,7,7,4
271190120,7,7,7,7,7,4
271190130,7,7,7,7,7,4
271190140,7,7,7,7,7,4
271190150,7,7,7,7,7,4
271190160,7,7,7,7,7,4
271190165,7,7,7,7,7,4
271190170,7,7,7,7,7,4
271190175,7,7,7,7,7,4
271190180,7,7,7,7,7,4
271190185,7,7,7,7,7,4
271190190,7,7,7,7,7,4
271190195,7,7,7,7,7,4
271190200,7,7,7,7,7,4
271190205,7,7,7,7,7,4
271190210,7,7,7,7,7,4
271190220,7,7,7,7,7,4
271190225,7,7,7,7,7,4
271190230,7,7,7,7,7,4
271190235,7,7,7,7,7,4
271190240,7,7,7,7,7,4
271190245,7,7,7,7,7,4
271190250,7,7,7,7,7,4
271190255,7,7,7,7,7,4
271190260,7,7,7,7,7,4
271190265,7,7,7,7,7,4
271190270,7,7,7,7,7,4
271190275,7,7,7,7,7,4
